,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
21,3,3,2,0,0.061,1628,42,0.077,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
22,1,3,1,1802,0.706,7974,90,0.731,0.166,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
23,3,3,3,681,1.542,2730,48,0.778,0.473,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
24,3,6,3,0,1.016,1712,27,0.286,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
25,2,1,3,0,0.769,14198,101,0.804,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
26,4,3,2,0,0.92,2816,38,0.52,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
27,3,1,4,2152,0.679,2555,62,0.676,0.069,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
28,6,2,1,1647,0.848,4270,76,0.767,0.73,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
29,5,3,1,1976,1.768,1827,24,3.0,0.135,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
30,5,2,4,1986,1.214,2449,27,0.038,0.487,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
31,1,4,1,0,1.038,689,23,0.353,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
32,3,3,2,0,0.6980208563915935,647,18,0.46092937189819666,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
33,6,3,4,1591,1.596,2064,33,1.062,0.586,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
34,6,2,1,1959,0.618,4300,69,0.683,0.76,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
35,3,3,2,1337,0.704,7919,85,0.635,0.039,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
36,4,3,4,1961,0.744,1779,47,0.808,0.598,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
37,6,1,2,1475,1.158,2447,46,1.3,0.679,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
38,3,3,2,0,0.5252969661700998,2077,38,0.48893130108117444,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,5,3,4,621,0.67,3955,72,0.756,0.08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
40,3,2,2,2517,0.378,856,18,0.059,0.772,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
41,4,3,2,1720,0.713,2702,32,0.778,0.847,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
42,4,1,2,0,0.667,3494,67,0.718,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
43,1,5,3,0,0.624,2253,48,0.455,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
44,6,2,2,2517,0.743,1220,30,0.765,0.144,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
45,1,4,4,2089,0.72,1137,26,0.238,0.063,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
46,1,2,2,2017,0.99,8696,72,0.895,0.14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
47,5,2,3,0,0.395,2221,40,0.739,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
48,1,1,1,777,0.743,13503,112,0.623,0.125,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
49,6,3,4,0,0.76,2622,53,0.71,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
50,2,3,0,1334,0.81,8927,103,0.635,0.084,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
51,3,3,2,0,0.7986709575876477,2312,43,0.34160753534362687,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,6,1,0,1294,0.791,1388,37,1.056,0.095,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
53,4,3,2,1502,0.648,1908,37,0.37,0.703,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
54,4,1,3,0,0.725,2568,48,0.297,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
55,3,3,2,2517,0.618,2691,42,0.5,0.073,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
56,2,2,3,0,0.588,2137,45,0.552,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
57,4,3,2,0,1.624,2753,48,1.087,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
58,6,2,2,0,0.676,1755,54,0.543,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
59,5,1,4,2024,0.667,3495,64,0.882,0.513,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
60,3,3,3,1853,0.829,2462,40,0.29,0.995,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
61,6,1,4,2517,0.431,1292,37,0.762,0.784,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
62,3,2,3,2137,1.048,1149,25,0.562,0.078,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
63,4,2,2,1468,0.505,1330,32,0.684,0.043,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
64,2,2,3,1067,0.931,1097,32,0.778,0.125,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
65,6,2,2,2025,0.604,1865,53,0.767,0.301,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
66,4,3,4,1018,1.129,2350,55,0.774,0.029,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
67,3,3,4,0,0.547,1874,42,0.615,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
68,5,2,3,2002,0.599,1191,34,0.545,0.608,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
69,4,2,1,1041,0.678,1339,28,0.867,0.463,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
70,3,3,3,0,0.483,1120,27,0.35,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
71,5,3,3,1038,0.973,1724,24,0.714,0.654,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
72,2,3,3,2477,1.021,5294,73,0.698,0.328,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
73,3,3,4,0,0.418,695,10,0.25,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
74,5,1,3,0,1.051,9356,74,0.85,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
75,3,3,1,2198,0.828,4531,81,0.723,0.762,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
76,2,2,3,0,0.734,815,21,0.615,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
77,6,1,0,2517,0.409,1327,31,0.409,0.115,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
78,6,3,2,1716,1.025,2580,61,0.649,0.103,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
79,4,6,3,1480,0.76,2271,60,0.364,0.406,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
80,2,2,3,2443,0.827,8765,105,0.721,0.071,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
81,2,2,3,1133,0.743,7986,88,0.6,0.167,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
82,5,3,3,0,0.747,2843,53,0.828,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
83,4,2,2,0,0.955,4890,49,0.485,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
84,5,4,2,1219,1.129,1590,27,2.0,0.035,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
85,3,3,2,1092,0.737,1409,39,0.345,0.032,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
86,4,4,2,1411,0.66,1911,47,0.958,0.925,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
87,3,3,3,1794,0.848,2839,47,0.808,0.203,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
88,3,3,2,2517,1.201,2102,32,1.133,0.436,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
89,4,3,1,1389,1.595,2878,54,0.636,0.761,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
90,4,3,2,1208,0.569,1345,28,0.647,0.56,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
91,3,2,2,2517,0.703,1330,34,1.125,0.135,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
92,3,1,1,1207,0.657,3244,58,1.0,0.168,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
93,4,1,3,0,0.722,4212,72,0.895,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
94,2,3,1,1507,0.594,15615,125,0.736,0.079,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
95,4,2,3,986,1.002,4724,56,0.806,0.314,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
96,2,2,2,1082,0.701,1007,22,1.444,0.114,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
97,2,1,1,1351,0.785,7590,74,0.682,0.283,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
98,1,1,2,1702,0.705,8652,98,0.849,0.049,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
99,1,3,1,2219,0.693,8255,86,0.911,0.11,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
100,4,3,3,1051,0.833,3116,80,0.6,0.398,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
101,1,3,2,0,0.626,2073,44,0.833,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
102,3,1,4,1319,0.693,1976,35,0.75,0.116,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
103,4,2,0,1403,0.886,1456,39,0.444,0.546,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
104,2,2,3,0,0.902,2919,47,0.382,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
105,3,1,3,0,1.071,3135,59,0.903,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
106,2,3,3,1847,0.557,7842,61,0.794,0.054,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
107,6,3,3,1473,0.775,1592,30,0.429,0.197,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
108,4,3,4,955,0.855,2568,62,0.59,0.203,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
109,2,3,3,0,1.061,8526,79,0.837,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
110,2,4,3,0,0.902,2851,49,0.75,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
111,5,3,3,2103,1.007,2413,48,1.087,0.3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
112,5,3,3,1494,1.229,3259,65,0.585,0.043,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
113,6,1,3,0,0.688,1555,32,0.684,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
114,5,1,2,1731,0.689,1745,27,0.929,0.525,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
115,3,2,3,592,0.236,644,15,0.154,0.376,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
116,4,2,2,1472,0.777,13785,117,0.648,0.104,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
117,2,2,5,1334,0.66,15068,123,0.685,0.31,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
118,3,2,2,0,0.518,4666,87,0.776,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
119,5,3,4,1530,0.724,2400,41,0.323,0.379,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
120,6,3,3,0,0.519,2050,51,0.821,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
121,1,3,2,507,0.967,1133,28,0.4,0.04,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
122,2,3,1,1692,0.771,7768,92,0.878,0.225,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
123,4,2,3,1240,0.856,1637,61,0.906,0.27,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
124,1,2,2,1313,0.929,4904,82,0.673,0.595,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
125,6,3,2,2517,0.558,4804,57,0.462,0.17,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
126,5,2,3,0,0.743,2118,64,0.455,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
127,1,3,3,2047,0.749,8804,111,0.682,0.787,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
128,6,3,3,1338,0.86,2511,55,0.774,0.593,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
129,3,3,1,2517,0.709,7042,85,0.635,0.175,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
130,6,3,3,0,0.613,2325,45,0.552,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
131,3,2,1,2517,0.779,16027,112,0.723,0.613,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
132,3,3,4,1954,0.436,1872,52,0.486,0.057,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
133,6,1,0,1061,1.062,1901,27,1.25,0.452,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
134,3,1,1,2376,0.822,2341,57,0.541,0.467,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
135,5,1,3,0,0.737,1813,31,0.409,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
136,1,3,1,2220,0.712,7041,95,0.532,0.233,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
137,6,2,2,672,0.767,2073,54,0.543,0.063,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
138,6,1,1,1443,0.934,2683,62,0.938,0.276,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
139,3,2,3,0,0.657,2297,44,0.63,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
140,6,2,2,989,0.86,1987,47,0.808,0.643,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
141,1,2,1,1750,0.618,4691,76,0.727,0.247,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
142,6,2,2,0,0.883,2874,44,0.63,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
143,5,1,1,1543,0.486,1265,32,0.391,0.745,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
144,5,2,4,0,0.421,1944,36,0.5,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
145,5,2,3,572,0.758,2400,34,0.789,0.312,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
146,4,2,1,0,1.064,2677,70,0.892,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
147,3,3,3,731,0.485,1868,30,0.2,0.174,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
148,2,2,2,1247,0.689,3681,62,0.632,0.32,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
149,6,1,2,1149,0.767,2553,61,0.794,0.203,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
150,3,2,2,1025,0.694,1907,52,0.926,0.086,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
151,2,2,3,0,0.797,8883,83,0.729,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
152,6,3,2,1753,0.788,1457,24,0.6,0.918,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
153,2,3,2,0,0.841,8392,69,0.683,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
154,3,3,3,0,0.47,2031,53,1.038,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
155,5,3,3,765,0.68,2507,64,0.641,0.027,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
156,5,2,3,412,0.568,2341,43,0.483,0.265,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
157,6,1,2,2027,0.898,1980,42,0.68,0.368,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
158,3,3,2,0,0.967,706,21,0.5,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
159,2,3,5,0,0.713,2389,49,0.361,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
160,1,2,3,1684,0.786,8066,79,0.549,0.192,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
161,3,3,1,1980,0.882,1600,45,0.406,0.707,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
162,3,1,2,2517,0.484,1238,25,1.083,0.636,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
163,5,2,3,1143,0.638,4536,85,0.889,0.607,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
164,4,1,1,2517,0.84,1060,32,0.333,0.119,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
165,3,2,3,0,0.735,2675,37,0.48,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
166,5,3,4,1631,1.113,1921,37,0.85,0.122,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
167,3,3,2,2517,0.499,2185,48,0.371,0.568,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
168,3,1,2,1990,0.631,2650,65,0.912,0.085,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
169,3,6,2,284,0.866,2511,51,0.5,0.118,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
170,5,3,2,1678,1.423,1861,42,0.5,0.218,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
171,6,3,4,829,0.669,2768,70,0.628,0.032,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
172,4,2,4,637,0.622,2608,78,0.592,0.139,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
173,5,3,2,0,0.921,1395,37,0.609,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
