train_idx,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
69,F,High School,Single,Less than $40K,Blue,3,3,3,168,0.671,2312,44,0.467,0.112,0
70,M,Unknown,Single,$60K - $80K,Blue,4,1,4,0,0.838,1902,56,0.931,0.0,1
71,F,College,Married,Less than $40K,Blue,6,2,2,0,0.705,4072,72,0.756,0.0,1
72,F,Graduate,Married,Unknown,Blue,6,2,1,0,0.758,3749,61,0.743,0.0,1
73,M,Unknown,Single,$60K - $80K,Blue,3,2,4,0,0.212,1531,31,0.107,0.0,0
74,F,High School,Unknown,Unknown,Blue,3,2,3,1430,0.95,4037,69,1.029,0.205,1
75,F,High School,Divorced,$40K - $60K,Blue,3,2,3,204,0.685,2014,54,0.8,0.044,0
76,F,Unknown,Divorced,Less than $40K,Blue,4,3,1,243,0.433,1979,38,0.462,0.075,0
77,F,Uneducated,Married,Less than $40K,Blue,3,2,1,0,0.572,4277,90,0.636,0.0,1
78,F,College,Married,Less than $40K,Blue,6,1,4,1867,0.6,1219,35,1.333,0.758,1
79,M,Post-Graduate,Married,$80K - $120K,Blue,6,2,2,2323,0.671,1676,36,0.714,0.08,1
80,F,Graduate,Married,Less than $40K,Blue,2,2,2,0,0.642,5138,84,0.68,0.0,1
81,F,Graduate,Single,Less than $40K,Blue,5,3,2,1300,0.95,4495,67,0.718,0.81,1
82,M,High School,Unknown,$80K - $120K,Blue,1,3,1,2077,0.656,7321,73,0.659,0.397,1
83,F,College,Single,Less than $40K,Blue,3,3,2,0,0.747,4524,70,0.667,0.0,1
84,F,Graduate,Divorced,Less than $40K,Blue,3,3,4,1687,0.563,3953,65,0.711,0.278,1
85,M,Uneducated,Married,$120K +,Silver,1,2,2,1588,0.745,7512,81,0.688,0.046,1
86,M,Graduate,Married,$40K - $60K,Blue,6,2,5,1695,0.842,1615,36,0.333,0.687,1
87,M,High School,Divorced,$60K - $80K,Blue,2,2,2,2171,0.842,4754,77,0.674,0.105,1
88,F,Uneducated,Single,Less than $40K,Blue,5,3,3,1008,0.695,4143,67,0.595,0.618,1
89,F,High School,Single,Unknown,Blue,3,6,3,477,1.015,1616,32,0.455,0.081,0
90,M,High School,Single,$120K +,Blue,1,3,2,1723,0.429,7572,56,0.697,0.05,0
91,F,High School,Single,$40K - $60K,Blue,6,5,2,1482,0.705,3651,60,0.818,0.434,1
92,F,Uneducated,Divorced,Less than $40K,Blue,3,3,1,2047,1.108,4928,79,0.646,0.545,1
93,F,Graduate,Married,Unknown,Blue,5,1,3,1111,0.846,1388,35,0.667,0.074,1
94,M,Graduate,Unknown,$120K +,Silver,2,2,3,1381,0.949,14696,114,0.966,0.04,1
95,F,Graduate,Unknown,Less than $40K,Blue,5,2,2,0,0.101,1507,33,0.222,0.0,0
96,F,Graduate,Divorced,Unknown,Blue,2,2,3,1917,0.653,13432,107,0.981,0.136,1
97,F,Unknown,Married,Less than $40K,Blue,3,3,2,0,0.502,1947,28,0.556,0.0,0
98,F,High School,Married,Less than $40K,Blue,4,2,3,1848,0.547,4396,78,0.814,0.711,1
99,M,Unknown,Married,$80K - $120K,Blue,4,4,1,1291,0.653,1028,21,1.625,0.095,1
100,M,Uneducated,Single,$80K - $120K,Blue,4,2,2,1153,0.666,2574,65,0.625,0.049,1
101,M,High School,Single,Unknown,Blue,3,4,2,836,0.889,2652,61,0.743,0.037,1
102,M,Doctorate,Married,$80K - $120K,Blue,5,3,4,0,1.009,1591,35,0.75,0.0,1
103,M,Graduate,Married,$80K - $120K,Blue,3,2,3,1662,1.186,1565,28,1.545,0.086,1
104,M,Unknown,Single,$120K +,Blue,3,3,4,2517,0.7,2376,55,0.486,0.073,0
105,F,High School,Single,Unknown,Blue,6,2,1,1680,0.628,4934,76,0.949,0.369,1
106,F,Graduate,Single,Less than $40K,Gold,6,2,1,897,0.494,2315,43,0.303,0.059,0
107,F,Doctorate,Married,$40K - $60K,Blue,3,1,3,1594,1.204,1338,29,2.222,0.755,1
108,F,Uneducated,Married,Unknown,Blue,6,3,2,0,0.894,2579,51,0.594,0.0,0
109,F,Graduate,Single,Less than $40K,Blue,4,3,2,1374,0.703,4641,65,0.711,0.346,1
110,F,Unknown,Married,Less than $40K,Blue,5,3,0,2318,1.265,1631,31,0.824,0.651,1
111,M,High School,Single,$120K +,Blue,4,1,4,1792,0.626,4134,60,0.765,0.184,1
112,F,Unknown,Divorced,$40K - $60K,Blue,4,3,2,1245,1.079,2967,80,0.739,0.128,1
113,M,Graduate,Married,$60K - $80K,Blue,3,3,2,628,0.695,3971,66,0.784,0.065,1
114,M,Graduate,Single,$80K - $120K,Blue,6,3,3,2517,0.658,597,17,0.7,0.076,0
115,M,Graduate,Single,$80K - $120K,Blue,3,2,2,1506,0.883,4821,77,0.711,0.705,1
116,F,High School,Married,Unknown,Blue,4,3,2,1335,0.814,1593,46,0.484,0.099,1
117,M,Uneducated,Married,Less than $40K,Blue,4,3,2,1797,0.607,4331,63,0.5,0.745,1
118,F,College,Married,Unknown,Blue,4,2,2,1863,0.399,4490,68,0.789,0.288,1
119,M,Unknown,Single,$80K - $120K,Blue,6,1,4,2156,0.668,1711,36,0.44,0.793,1
120,F,Graduate,Unknown,Less than $40K,Blue,5,3,4,0,0.765,4929,74,0.574,0.0,1
121,F,Graduate,Married,Unknown,Blue,5,3,2,794,0.5,1488,30,0.579,0.263,1
122,F,Graduate,Married,Less than $40K,Blue,6,1,2,1085,0.656,4224,75,1.027,0.508,1
123,F,Graduate,Unknown,Unknown,Blue,1,1,3,2290,1.122,4871,75,1.027,0.22,1
124,F,High School,Married,Less than $40K,Blue,6,2,3,760,0.709,2017,43,0.955,0.482,1
125,M,Uneducated,Single,Less than $40K,Blue,5,2,2,1741,0.816,2324,67,1.03,0.305,1
126,M,Graduate,Unknown,$80K - $120K,Blue,6,2,4,2222,0.691,1414,27,0.929,0.263,1
127,F,Graduate,Married,Less than $40K,Blue,3,1,3,1829,0.671,4529,73,0.872,0.369,1
128,F,Uneducated,Single,Unknown,Blue,3,3,3,1935,0.593,4917,81,0.653,0.719,1
129,F,Uneducated,Single,Less than $40K,Blue,4,2,0,0,1.075,1971,56,0.6,0.0,1
130,F,Unknown,Married,Less than $40K,Blue,6,3,4,979,1.467,2847,61,0.968,0.602,1
131,F,Uneducated,Single,Unknown,Blue,6,3,3,1966,1.046,4775,84,0.787,0.809,1
132,F,High School,Married,Less than $40K,Blue,3,3,1,1193,0.445,1914,33,0.5,0.262,1
133,M,College,Single,$80K - $120K,Blue,3,2,2,1399,0.507,4389,84,0.68,0.108,1
134,M,Graduate,Married,$80K - $120K,Blue,4,4,3,1463,1.28,2916,50,0.724,0.094,1
135,M,College,Divorced,$120K +,Blue,3,1,1,1207,0.657,3244,58,1.0,0.168,1
136,M,High School,Married,$80K - $120K,Blue,1,3,2,0,0.983,4883,42,0.5,0.0,0
137,F,Post-Graduate,Single,$40K - $60K,Blue,3,1,4,0,0.853,4693,82,0.608,0.0,1
138,F,Doctorate,Single,Less than $40K,Blue,3,1,1,0,0.783,4666,98,0.719,0.0,1
139,F,Uneducated,Unknown,$40K - $60K,Blue,6,2,2,1433,0.985,4050,58,0.611,0.868,1
140,M,College,Married,$80K - $120K,Blue,4,1,5,773,1.238,2457,54,1.0,0.045,1
141,F,Doctorate,Married,Unknown,Blue,6,1,3,0,0.732,4201,73,0.587,0.0,1
142,M,Graduate,Single,Less than $40K,Blue,6,3,2,2013,0.478,3546,65,0.548,0.344,1
143,M,Graduate,Divorced,$60K - $80K,Blue,3,4,3,1008,0.639,2176,39,0.56,0.143,0
144,M,Unknown,Single,$80K - $120K,Blue,5,3,2,877,0.772,1150,26,0.625,0.059,1
145,F,Doctorate,Married,Unknown,Blue,5,2,1,1734,0.789,5242,81,1.382,0.372,1
146,F,Graduate,Married,$40K - $60K,Blue,2,1,1,0,0.63,4182,76,1.171,0.0,1
147,M,Graduate,Single,$80K - $120K,Blue,2,3,2,861,0.78,1127,29,0.381,0.084,0
148,M,Unknown,Single,$120K +,Blue,3,1,5,2512,0.739,4599,75,0.471,0.688,1
149,F,Graduate,Single,Less than $40K,Blue,4,3,3,0,0.998,5128,74,0.947,0.0,1
150,F,Post-Graduate,Married,Less than $40K,Blue,2,1,2,2005,0.682,14738,94,0.709,0.375,1
151,F,Graduate,Married,Less than $40K,Blue,6,3,1,1611,0.682,3992,57,0.727,0.524,1
152,M,Graduate,Married,$60K - $80K,Blue,1,2,4,159,0.592,7412,60,0.579,0.032,0
153,F,High School,Married,Less than $40K,Blue,6,2,3,2417,0.687,4127,71,0.479,0.682,1
154,M,Uneducated,Married,$60K - $80K,Blue,6,1,3,0,0.822,5223,84,0.909,0.0,1
155,F,Uneducated,Married,Less than $40K,Blue,5,4,2,1240,0.906,4396,78,0.95,0.559,1
156,F,Graduate,Single,Less than $40K,Blue,1,2,1,666,0.691,1483,36,0.5,0.352,0
157,M,High School,Single,$60K - $80K,Blue,4,1,4,1553,0.482,1910,51,0.7,0.776,1
158,M,Graduate,Single,$40K - $60K,Blue,6,1,3,925,0.598,2659,63,0.75,0.573,1
159,F,Graduate,Single,Less than $40K,Blue,3,1,3,1753,0.32,1154,33,0.571,0.654,1
160,F,Post-Graduate,Married,Less than $40K,Blue,4,2,3,878,0.777,5416,76,0.9,0.243,1
161,M,Graduate,Unknown,$60K - $80K,Blue,1,5,1,1930,0.933,13767,96,0.655,0.223,1
162,F,High School,Married,Less than $40K,Blue,4,4,1,2235,0.863,3669,62,1.138,0.529,1
163,M,Uneducated,Married,$40K - $60K,Blue,4,2,3,1880,1.107,1424,29,1.417,0.422,1
164,M,Graduate,Married,$120K +,Blue,2,3,2,2452,0.707,7111,82,0.608,0.071,1
165,F,Graduate,Single,$40K - $60K,Blue,5,4,3,986,0.649,5136,81,0.8,0.686,1
166,F,Graduate,Divorced,$40K - $60K,Blue,6,2,5,2517,1.743,2293,36,0.8,0.303,1
167,F,Unknown,Married,Less than $40K,Blue,1,2,1,924,0.86,5674,78,0.857,0.159,1
168,M,Doctorate,Married,$60K - $80K,Blue,6,2,0,1430,2.316,1741,27,0.588,0.626,1
169,M,Unknown,Married,$80K - $120K,Blue,3,2,3,1811,0.977,1038,25,2.571,0.658,1
170,F,Graduate,Unknown,Less than $40K,Blue,4,4,3,0,0.639,1785,33,0.32,0.0,0
171,F,Unknown,Single,$40K - $60K,Blue,5,2,4,1686,0.624,4503,67,0.811,0.65,1
172,M,Graduate,Divorced,$80K - $120K,Blue,5,1,3,789,0.833,2337,69,0.605,0.026,1
173,M,Graduate,Married,$120K +,Blue,2,2,4,0,0.433,837,18,1.0,0.0,0
174,M,Doctorate,Married,$80K - $120K,Blue,3,3,3,0,0.535,1345,34,0.619,0.0,1
175,M,High School,Single,$40K - $60K,Blue,6,3,3,1427,0.48,2057,54,0.421,0.277,1
176,M,Graduate,Single,$40K - $60K,Blue,3,4,2,666,0.642,4808,64,0.684,0.433,1
177,F,College,Married,Unknown,Blue,2,1,3,2296,0.808,7910,95,0.557,0.093,1
178,F,College,Single,$40K - $60K,Blue,2,1,3,683,0.85,4835,77,0.75,0.186,1
179,F,Unknown,Married,Less than $40K,Blue,4,3,2,0,0.773,3928,75,0.744,0.0,1
180,F,Unknown,Married,Less than $40K,Blue,2,3,3,0,0.917,901,35,0.522,0.0,0
181,M,Doctorate,Unknown,$60K - $80K,Blue,3,2,4,0,0.544,2060,39,0.625,0.0,0
182,F,Graduate,Married,Less than $40K,Blue,4,2,0,1726,1.178,2535,51,0.759,0.246,1
183,M,Graduate,Married,$80K - $120K,Blue,3,2,3,1980,0.616,1409,34,0.619,0.162,1
184,M,High School,Single,$60K - $80K,Blue,5,2,3,1404,0.633,3994,64,0.778,0.646,1
185,F,Post-Graduate,Single,Less than $40K,Blue,3,3,3,0,0.447,1723,44,0.375,0.0,0
186,M,College,Single,$120K +,Blue,2,2,3,0,0.885,654,14,0.4,0.0,0
187,M,Graduate,Single,$120K +,Silver,4,3,4,0,1.007,9931,70,0.75,0.0,0
188,M,Unknown,Married,$60K - $80K,Blue,4,1,3,1043,0.667,3358,62,0.722,0.206,1
189,M,Unknown,Married,$120K +,Blue,4,5,3,0,0.785,4228,93,0.788,0.0,1
190,F,Graduate,Married,Less than $40K,Blue,2,1,3,0,0.684,14264,118,0.873,0.0,1
191,M,Graduate,Married,$80K - $120K,Blue,4,2,4,1410,0.644,1762,34,0.7,0.464,1
192,M,Uneducated,Single,Less than $40K,Blue,5,2,1,1595,0.619,15240,102,0.729,0.261,1
193,M,Uneducated,Single,Less than $40K,Blue,4,2,2,2073,1.035,3250,70,0.591,0.643,1
194,M,Graduate,Single,Less than $40K,Blue,3,2,3,1077,0.934,4449,77,0.878,0.352,1
195,M,College,Married,$60K - $80K,Blue,5,3,1,1258,0.764,4139,67,0.914,0.276,1
196,M,Unknown,Divorced,$60K - $80K,Blue,3,2,1,1669,0.788,1053,31,0.55,0.645,1
197,F,Unknown,Single,Less than $40K,Blue,6,0,3,1089,1.034,4648,80,0.778,0.347,1
198,F,Graduate,Unknown,Less than $40K,Blue,6,3,2,2491,0.45,4460,62,0.722,0.823,1
199,M,Post-Graduate,Single,$80K - $120K,Silver,3,3,2,1731,0.605,2421,63,0.575,0.05,1
200,F,High School,Married,Less than $40K,Blue,4,3,2,0,0.854,4759,98,0.719,0.0,1
201,M,Doctorate,Married,$40K - $60K,Blue,5,1,2,0,0.562,3691,77,0.51,0.0,1
202,M,Unknown,Married,$60K - $80K,Blue,5,3,3,865,0.939,1107,21,1.625,0.057,1
203,M,Unknown,Married,$120K +,Blue,4,3,3,0,1.043,5425,60,0.875,0.0,0
204,F,Graduate,Single,Less than $40K,Blue,6,3,2,0,0.847,2213,62,0.771,0.0,1
205,F,Graduate,Married,Unknown,Blue,3,3,3,2517,0.841,4884,89,0.618,0.872,1
206,M,Uneducated,Married,$80K - $120K,Blue,5,3,3,2457,0.693,1392,33,0.737,0.994,1
207,M,High School,Married,$80K - $120K,Blue,5,1,2,1306,0.399,1374,32,0.391,0.398,1
208,M,High School,Married,$80K - $120K,Blue,5,5,2,1539,0.645,1165,33,0.833,0.123,1
209,F,Graduate,Single,Unknown,Blue,4,2,3,1246,1.055,3929,66,0.737,0.093,1
210,F,Uneducated,Single,Less than $40K,Blue,4,3,1,2114,0.655,4188,75,0.667,0.657,1
211,F,Uneducated,Married,Less than $40K,Blue,6,3,3,0,0.782,2170,41,0.464,0.0,1
212,M,High School,Unknown,$60K - $80K,Silver,1,2,3,1601,0.686,7491,86,0.72,0.046,1
213,M,Doctorate,Married,$80K - $120K,Blue,2,2,2,1229,0.784,4928,77,0.638,0.552,1
214,M,Uneducated,Single,$80K - $120K,Blue,1,2,4,2517,0.602,1844,49,0.633,0.814,0
215,F,Unknown,Single,Unknown,Blue,2,2,3,0,1.411,9865,65,0.711,0.0,0
216,F,College,Unknown,$40K - $60K,Blue,4,3,3,0,0.782,4806,81,0.653,0.0,1
217,F,High School,Married,Unknown,Blue,3,2,3,2517,0.37,1347,27,0.421,0.277,1
218,M,High School,Unknown,$80K - $120K,Blue,5,3,2,1764,0.786,4442,85,0.771,0.686,1
219,M,Graduate,Single,$40K - $60K,Blue,6,3,3,0,0.519,2050,51,0.821,0.0,0
220,F,Graduate,Single,Unknown,Blue,5,3,2,2517,0.682,4837,87,0.673,0.64,1
221,F,Unknown,Married,Less than $40K,Blue,5,5,2,0,0.923,4531,86,0.83,0.0,1
222,F,College,Unknown,$40K - $60K,Blue,3,3,3,2005,0.996,1561,26,1.0,0.159,1
223,F,High School,Married,$40K - $60K,Blue,2,2,3,134,0.717,2409,38,0.31,0.017,0
224,M,Doctorate,Single,$80K - $120K,Blue,5,4,2,991,0.736,5173,64,0.6,0.196,1
225,M,Unknown,Married,$80K - $120K,Blue,2,3,3,1628,0.696,836,18,0.385,0.299,0
226,F,Graduate,Married,Unknown,Blue,1,1,3,745,0.714,4588,74,0.762,0.094,1
227,F,Unknown,Unknown,Unknown,Blue,5,1,2,2281,0.518,1296,31,0.348,0.669,1
228,F,Graduate,Single,$40K - $60K,Blue,1,3,1,585,0.624,4245,74,0.897,0.069,1
229,M,Graduate,Married,$40K - $60K,Blue,4,2,3,1603,0.471,1340,25,0.923,0.149,1
230,M,College,Married,$120K +,Blue,5,1,4,2088,0.768,1008,21,0.4,0.605,1
231,M,College,Unknown,$120K +,Blue,3,2,1,2183,0.995,4121,81,0.761,0.101,1
232,M,Graduate,Married,Less than $40K,Blue,2,3,3,1767,0.54,1919,38,0.52,0.254,0
233,F,Graduate,Married,Unknown,Blue,2,1,3,0,0.709,4583,86,0.911,0.0,1
234,F,Graduate,Married,Less than $40K,Blue,3,4,2,2517,0.419,2231,60,0.875,0.86,0
235,M,Graduate,Married,$80K - $120K,Blue,5,3,2,2414,0.779,4284,74,0.682,0.455,1
236,F,Graduate,Married,Less than $40K,Blue,4,2,3,2517,0.405,1718,37,0.276,0.647,0
237,F,Graduate,Single,$40K - $60K,Blue,2,1,1,0,0.728,4494,82,0.708,0.0,1
238,M,High School,Married,$60K - $80K,Blue,3,3,4,1889,1.053,1659,39,1.167,0.132,1
239,M,High School,Married,$40K - $60K,Blue,3,1,3,2517,0.892,1101,37,0.276,0.197,1
240,M,High School,Married,$80K - $120K,Silver,5,3,3,2292,0.876,8045,71,0.868,0.066,0
241,F,Graduate,Married,Less than $40K,Blue,5,3,2,2340,0.608,4730,82,0.708,0.903,1
242,M,Uneducated,Single,$120K +,Blue,5,3,4,557,0.768,4654,88,0.66,0.02,1
243,F,Graduate,Unknown,Less than $40K,Blue,4,3,1,0,0.599,4470,58,0.812,0.0,1
244,M,Unknown,Married,$60K - $80K,Gold,3,3,2,1092,0.737,1409,39,0.345,0.032,1
245,F,Post-Graduate,Married,Unknown,Blue,5,2,1,1732,0.638,4053,85,0.635,0.601,1
246,M,Unknown,Single,$80K - $120K,Blue,4,2,1,0,0.703,4355,78,0.857,0.0,1
247,M,Graduate,Single,$80K - $120K,Blue,2,3,3,1762,0.409,4231,62,0.55,0.103,1
248,F,Uneducated,Married,Less than $40K,Blue,3,3,3,0,0.873,8078,62,0.722,0.0,0
249,M,High School,Married,$80K - $120K,Blue,4,2,1,2517,0.864,3853,71,0.775,0.207,1
250,F,Unknown,Married,Unknown,Blue,5,2,3,1143,0.638,4536,85,0.889,0.607,1
251,F,College,Married,Less than $40K,Blue,5,6,2,727,0.894,4804,78,0.814,0.271,1
252,M,Graduate,Single,$60K - $80K,Blue,2,3,1,1821,0.687,14544,116,1.148,0.102,1
253,M,Graduate,Married,$120K +,Blue,1,3,2,0,0.96,14378,103,0.717,0.0,1
254,M,Uneducated,Married,$60K - $80K,Blue,4,1,3,659,0.938,3756,70,0.842,0.181,1
255,M,Unknown,Single,$40K - $60K,Blue,1,3,1,2410,0.738,7437,94,0.709,0.454,1
256,F,College,Married,$40K - $60K,Blue,2,3,2,1787,0.685,4758,67,0.558,0.568,1
257,F,Graduate,Single,Less than $40K,Blue,6,1,3,0,0.53,4538,82,1.05,0.0,1
258,M,High School,Married,$60K - $80K,Blue,5,3,2,1760,0.869,2447,40,0.429,0.427,0
259,F,College,Single,Unknown,Blue,3,3,3,658,0.638,4283,69,0.605,0.11,1
260,F,High School,Married,$40K - $60K,Blue,3,2,2,845,1.328,2307,45,0.8,0.371,1
261,M,Graduate,Single,$120K +,Blue,6,2,2,1048,0.509,2383,59,0.595,0.077,1
262,M,Graduate,Married,$80K - $120K,Blue,1,1,3,1506,0.818,9042,122,0.605,0.053,1
263,F,Graduate,Divorced,$40K - $60K,Blue,3,2,4,2517,0.751,4021,56,0.806,0.222,1
264,F,Unknown,Single,Unknown,Blue,3,3,4,0,0.596,2645,63,0.8,0.0,1
265,F,Graduate,Single,Less than $40K,Blue,5,1,0,961,0.551,1753,49,0.441,0.111,1
266,M,Post-Graduate,Divorced,$120K +,Blue,6,1,3,2506,0.873,4855,79,0.58,0.718,1
267,F,Unknown,Single,Unknown,Blue,2,1,3,2517,0.988,803,15,0.875,0.571,0
268,F,Graduate,Married,Less than $40K,Blue,6,4,0,913,0.612,4560,84,1.049,0.275,1
269,M,Post-Graduate,Married,$60K - $80K,Blue,5,1,4,1928,0.509,1233,35,0.4,0.606,1
270,F,Uneducated,Unknown,Less than $40K,Blue,3,3,4,918,0.56,3877,75,0.744,0.129,1
